,epoch,total_loss
0,1,257970.95017027855
1,2,200537.7763323784
2,3,191093.11059188843
3,4,179726.705835104
4,5,171374.88144743443
5,6,161073.88043355942
6,7,157910.95364451408
7,8,150745.4409852028
8,9,148859.64713549614
9,10,144531.69134283066
10,11,137376.28255999088
11,12,133232.40428876877
12,13,131409.87905597687
13,14,128848.64975976944
14,15,123870.0255074501
15,16,121683.12277448177
16,17,118947.39959406853
17,18,115964.2175731659
18,19,114019.11482656002
19,20,109924.68778133392
20,21,108895.8343205452
21,22,105374.27356243134
22,23,101738.64582681656
23,24,100925.70065546036
24,25,97398.46409034729
25,26,95540.82842874527
26,27,94113.75616502762
27,28,91347.500685215
28,29,87135.62600827217
29,30,86716.04575419426
30,31,83808.66556119919
31,32,82280.4405181408
32,33,79625.16529071331
33,34,78075.83910131454
34,35,75837.22801089287
35,36,74188.95112156868
36,37,73377.16028666496
37,38,71323.80332040787
38,39,69138.19749832153
39,40,66666.55688786507
40,41,64580.08682346344
41,42,63768.27896499634
42,43,62084.665006518364
43,44,60772.442278862
44,45,59220.42586481571
45,46,57578.61474919319
46,47,56261.30769979954
47,48,54133.63300931454
48,49,52679.7156188488
49,50,50887.12213432789
50,51,49177.68885540962
51,52,48201.35758459568
52,53,48307.22866332531
53,54,46279.30754286051
54,55,45702.71140038967
55,56,43983.33689939976
56,57,42857.90939950943
57,58,42459.631623625755
58,59,41773.08179926872
59,60,41661.012307047844
60,61,40474.691162467
61,62,39749.3220051527
62,63,38710.44494318962
63,64,38799.823550224304
64,65,37946.95589244366
65,66,38121.732583761215
66,67,36892.568807423115
67,68,36737.05086326599
68,69,36695.2884670496
69,70,36790.92005944252
70,71,35728.0758485198
71,72,35563.56725639105
72,73,35747.513918221
73,74,35520.68058001995
74,75,34970.676459252834
75,76,34863.36381727457
76,77,34658.20098352432
77,78,34254.140408575535
78,79,34482.584943413734
79,80,34277.66753137112
80,81,33544.16455847025
81,82,33786.07751661539
82,83,33976.42025721073
83,84,33593.6658962965
84,85,33444.4792663455
85,86,32998.173753261566
86,87,33038.19888961315
87,88,32837.60980480909
88,89,32855.32585763931
89,90,32472.779303252697
90,91,32425.763150453568
91,92,32532.492358624935
92,93,32213.743675112724
93,94,32266.87763160467
94,95,31920.756945192814
95,96,31815.53937870264
96,97,31751.373163998127
97,98,31528.991358101368
98,99,31376.27104240656
99,100,31497.29162567854
100,101,31042.83231061697
101,102,31362.90940386057
102,103,31122.865494310856
103,104,31109.70069307089
104,105,30819.024480760098
105,106,30966.709192276
106,107,30767.70564442873
107,108,30623.29050654173
108,109,30367.25064176321
109,110,30370.248193740845
110,111,30694.538645863533
111,112,30259.543831437826
112,113,30248.223134338856
113,114,30216.48595702648
114,115,29918.453121244907
115,116,29689.86848282814
116,117,30140.951744437218
117,118,29720.722702920437
118,119,29965.745795965195
119,120,30181.60571423173
120,121,29570.45360428095
121,122,30182.29368162155
122,123,29666.578356146812
123,124,29540.87413698435
124,125,29849.1787661314
125,126,29405.317542672157
126,127,29254.19278162718
127,128,29078.916710555553
128,129,29199.997519791126
129,130,28846.625553309917
130,131,28864.95407307148
131,132,29165.70898592472
132,133,28863.3211889863
133,134,28541.854014992714
134,135,28458.43866711855
135,136,28390.455379486084
136,137,28661.160697460175
137,138,28270.100187838078
138,139,28496.367318093777
139,140,28310.74882644415
140,141,28423.28663778305
141,142,28132.28595352173
142,143,28003.78512495756
143,144,28227.686666846275
144,145,27929.264199733734
145,146,27814.891095519066
146,147,27947.60267302394
147,148,27873.345294058323
148,149,27641.89268410206
149,150,27964.590650320053
150,151,27539.201674938202
151,152,27508.910406291485
152,153,27950.63523876667
153,154,27238.189290821552
154,155,27067.50821530819
155,156,27286.894344478846
156,157,27104.97448605299
157,158,27320.243479192257
158,159,27415.338828623295
159,160,27268.674947202206
